,latitud,longitud,profundidad (km),magnitud (M),distrito,gasto por daño
4721,-15.53,-75.52,22,4.8,29,82972500000.0
4722,-6.07,-77.19,24,5.2,36,37964700000.0
4723,-3.771,-75.461,53,4.1,36,37964700000.0
4724,-12.53,-76.61,46,4.6,22,87387300000.0
4725,-11.65,-77.49,27,4.6,0,291359135593.2201
4726,-14.37,-75.89,41,4.6,29,82972500000.0
4727,-7.16,-75.45,131,4.9,36,37964700000.0
4728,-17.873,-69.273,148,5.0,20,71909500000.0
4729,-18.46,-69.854,130,4.3,20,71909500000.0
4730,-2.2,-75.57,104,4.7,36,37964700000.0
4731,-15.57,-70.264,225,4.1,20,71909500000.0
4732,-15.639,-69.474,261,4.4,20,71909500000.0
4733,-8.24,-76.18,47,5.2,32,15037537500.0
4734,-8.96,-75.31,131,4.9,32,15037537500.0
4735,-12.04,-76.19,41,4.7,38,259756250000.0
4736,-18.262,-69.475,158,4.3,20,71909500000.0
4737,-6.19,-77.25,12,4.5,36,37964700000.0
4738,-10.49,-74.22,127,4.6,8,167976388949.99994
4739,-10.82,-74.4,25,5.1,8,167976388949.99994
4740,-8.1,-80.06,21,4.6,13,43009540000.0
4741,-5.77,-77.04,22,4.6,36,37964700000.0
4742,-15.62,-75.64,22,6.1,29,82972500000.0
4743,-7.59,-81.07,32,5.4,13,43009540000.0
4744,-13.42,-72.47,110,7.0,34,66667680000.0
4745,-14.29,-76.14,55,5.0,29,82972500000.0
4746,-3.76,-77.47,49,4.8,36,37964700000.0
4747,-8.9,-80.03,40,4.5,13,43009540000.0
4748,-7.39,-77.9,59,4.7,36,37964700000.0
4749,-8.58,-78.32,46,4.5,32,15037537500.0
4750,-18.523,-69.736,126,4.0,20,71909500000.0
4751,-6.82,-76.65,146,4.7,36,37964700000.0
4752,-10.94,-75.87,128,4.7,38,259756250000.0
4753,-14.98,-76.0,37,4.9,29,82972500000.0
4754,-13.64,-73.29,78,4.5,34,66667680000.0
4755,-15.69,-71.81,6,5.6,20,71909500000.0
4756,-14.4,-76.38,18,4.9,29,82972500000.0
4757,-16.56,-73.8,26,5.4,20,71909500000.0
4758,-12.61,-74.96,32,4.7,8,167976388949.99994
4759,-6.27,-76.42,57,4.5,36,37964700000.0
4760,-17.96,-72.08,25,5.3,20,71909500000.0
4761,-14.29,-73.33,96,5.8,34,66667680000.0
4762,-10.24,-71.26,184,4.6,34,66667680000.0
4763,-8.21,-73.63,181,4.9,8,167976388949.99994
4764,-13.62,-75.65,13,4.8,29,82972500000.0
4765,-7.38,-74.85,39,4.5,36,37964700000.0
4766,-13.45,-76.22,37,4.5,29,82972500000.0
4767,-14.93,-72.08,113,5.0,20,71909500000.0
4768,-6.08,-79.93,74,4.8,13,43009540000.0
4769,-11.62,-77.38,48,4.7,0,291359135593.2201
4770,-2.324,-77.114,33,4.8,36,37964700000.0
4771,-15.34,-75.09,28,4.5,29,82972500000.0
4772,-13.22,-74.75,47,4.9,34,66667680000.0
4773,-11.43,-73.1,71,5.2,34,66667680000.0
4774,-11.65,-73.47,21,5.2,34,66667680000.0
4775,-13.6,-77.3,25,5.2,22,87387300000.0
4776,-13.579,-77.329,10,4.8,22,87387300000.0
4777,-14.23,-77.1,35,4.9,22,87387300000.0
4778,-14.41,-76.07,36,4.7,29,82972500000.0
4779,-14.59,-75.59,33,4.5,29,82972500000.0
4780,-15.86,-75.24,24,5.3,29,82972500000.0
4781,-9.19,-78.11,28,5.2,10,55328000000.0
4782,-16.54,-73.97,16,4.5,20,71909500000.0
4783,-11.57,-77.78,72,4.5,0,291359135593.2201
4784,-15.29,-72.7,108,5.2,20,71909500000.0
4785,-14.34,-75.45,47,4.6,29,82972500000.0
4786,-8.85,-78.17,50,5.3,32,15037537500.0
4787,-8.02,-78.97,28,4.9,13,43009540000.0
4788,-8.11,-76.95,35,4.8,32,15037537500.0
4789,-10.21,-76.45,31,4.9,10,55328000000.0
4790,-16.337,-73.235,87,4.6,20,71909500000.0
4791,-15.01,-75.07,27,5.6,29,82972500000.0
4792,-4.39,-80.75,48,4.9,13,43009540000.0
4793,-14.89,-75.16,47,5.0,29,82972500000.0
4794,-4.349,-81.541,23,5.3,13,43009540000.0
4795,-8.87,-77.04,122,4.5,32,15037537500.0
4796,-14.35,-74.77,74,4.7,29,82972500000.0
4797,-10.242,-75.362,33,4.7,8,167976388949.99994
4798,-14.92,-75.15,47,5.2,29,82972500000.0
4799,-5.883,-77.066,41,4.3,36,37964700000.0
4800,-9.26,-75.82,138,4.5,32,15037537500.0
4801,-11.29,-74.313,33,4.0,8,167976388949.99994
4802,-9.42,-78.84,80,4.9,10,55328000000.0
4803,-11.9,-77.92,33,4.5,0,291359135593.2201
4804,-7.85,-77.09,33,4.8,32,15037537500.0
4805,-8.62,-74.66,154,4.5,32,15037537500.0
4806,-10.25,-74.91,142,4.6,8,167976388949.99994
4807,-10.73,-77.14,84,4.5,0,291359135593.2201
4808,-8.61,-78.82,33,4.5,32,15037537500.0
4809,-10.6,-75.37,70,4.6,8,167976388949.99994
4810,-13.37,-76.33,39,4.7,22,87387300000.0
4811,-8.2,-74.342,166,5.1,32,15037537500.0
4812,-15.213,-71.964,151,4.0,20,71909500000.0
4813,-8.62,-75.61,119,5.7,32,15037537500.0
4814,-10.2,-74.85,11,4.6,8,167976388949.99994
4815,-14.92,-74.8,79,4.6,29,82972500000.0
4816,-12.45,-77.45,35,5.4,6,174762720000.0
4817,-15.25,-74.51,37,4.9,29,82972500000.0
4818,-15.3,-74.31,94,4.5,29,82972500000.0
4819,-13.19,-76.23,62,4.6,22,87387300000.0
4820,-11.98,-76.64,56,4.5,16,660046901390.452
4821,-14.775,-71.552,119,4.5,20,71909500000.0
4822,-9.56,-79.15,81,4.9,10,55328000000.0
4823,-13.28,-74.68,98,4.9,34,66667680000.0
4824,-14.93,-74.67,42,5.1,29,82972500000.0
4825,-14.29,-74.1,120,4.6,29,82972500000.0
4826,-10.18,-79.66,27,4.6,10,55328000000.0
4827,-13.88,-75.91,42,4.8,29,82972500000.0
4828,-15.65,-73.84,65,4.5,29,82972500000.0
4829,-13.75,-77.08,40,5.3,22,87387300000.0
4830,-6.68,-79.64,62,5.0,13,43009540000.0
4831,-14.63,-73.57,87,4.7,34,66667680000.0
4832,-11.52,-78.12,33,4.9,0,291359135593.2201
4833,-14.12,-71.17,69,4.7,20,71909500000.0
4834,-6.24,-77.44,90,4.5,36,37964700000.0
4835,-16.663,-74.269,35,5.0,20,71909500000.0
4836,-15.071,-71.426,177,4.3,20,71909500000.0
4837,-10.71,-79.51,33,4.6,10,55328000000.0
4838,-6.61,-78.03,75,4.5,36,37964700000.0
4839,-8.42,-78.48,109,5.1,32,15037537500.0
4840,-14.42,-74.42,113,4.7,29,82972500000.0
4841,-12.48,-77.32,50,4.8,6,174762720000.0
4842,-14.27,-75.21,86,4.5,29,82972500000.0
4843,-12.04,-76.6,93,4.5,16,660046901390.452
4844,-11.12,-77.99,45,4.9,0,291359135593.2201
4845,-6.926,-75.843,109,4.3,36,37964700000.0
4846,-12.87,-72.96,84,4.6,34,66667680000.0
4847,-15.98,-73.61,77,4.6,20,71909500000.0
